iter	RMSE
0	0.3317417731
1	0.327692977
2	0.324288438
3	0.321274869
4	0.318504426
5	0.31586786
6	0.313367532
7	0.311031712
8	0.3088942376
9	0.3069012456
10	0.3051945825
11	0.303326756
12	0.3017143052
13	0.3002539994
14	0.2988446702
15	0.2971254745
16	0.295542994
17	0.2944050362
18	0.2930526799
19	0.2921435164
20	0.2911610858
21	0.290290542
22	0.2894964413
23	0.2887491575
24	0.2876153227
25	0.2870459073
26	0.2851248017
27	0.2844194376
28	0.2837897366
29	0.2832375467
30	0.282731004
31	0.2819368388
32	0.2812857015
33	0.2800672872
34	0.2797059757
35	0.2789397848
36	0.2785665119
37	0.2778207285
38	0.2774939634
39	0.2771023511
40	0.2760270738
41	0.2756462367
42	0.2752860804
43	0.274816089
44	0.2745720734
45	0.2739937854
46	0.2737541198
47	0.2730359011
48	0.272649853
49	0.2724247537
50	0.2721671751
51	0.2719480461
52	0.2710681456
53	0.2705634587
54	0.2701704183
55	0.2697537006
56	0.2694421554
57	0.2688167763
58	0.2680892332
59	0.2676298598
60	0.2671948672
61	0.2669245326
62	0.2666811853
63	0.2663356156
64	0.2658314692
65	0.2654489862
66	0.2652251042
67	0.2649616572
68	0.264404338
69	0.263947284
70	0.2637509706
71	0.2634552646
72	0.2631765756
73	0.2628868889
74	0.2626870991
75	0.2624222145
76	0.2622252176
77	0.2618329226
78	0.2616509322
79	0.2614283134
80	0.2611778797
81	0.2608789392
82	0.2606111241
83	0.2604737176
84	0.260128047
85	0.2598272184
86	0.2595417235
87	0.2593868057
88	0.2592254015
89	0.2589877804
90	0.2587677369
91	0.258485407
92	0.2583117059
93	0.2581282665
94	0.2578363764
95	0.2575916315
96	0.2573723308
97	0.2570586374
98	0.2569209293
99	0.2568090941
100	0.2566082516
101	0.2564383703
102	0.2562590535
103	0.2561379434
104	0.2557983962
105	0.2555781819
106	0.255489826
107	0.2550170446
108	0.2548627084
109	0.2546545465
110	0.2544876029
111	0.254341052
112	0.2541960064
113	0.2539014413
114	0.2536477628
115	0.2533231446
116	0.25321399
117	0.2529577357
118	0.2523275994
119	0.2521154322
120	0.2519059787
121	0.2518277628
122	0.2516562909
123	0.2514918834
124	0.2512486447
125	0.251066861
126	0.2509020219
127	0.2507278343
128	0.2506333051
129	0.2504786939
130	0.2502448299
131	0.2501446471
132	0.2498468869
133	0.2495205512
134	0.2493465684
135	0.2492432735
136	0.2491471331
137	0.2490131823
138	0.2485216054
139	0.2483742628
140	0.2481881749
141	0.2480454966
142	0.2478714854
143	0.2477236533
144	0.2475124475
145	0.2472597937
146	0.2471523196
147	0.2470253944
148	0.2468178209
149	0.2467454142
150	0.2465949084
151	0.2465072477
152	0.246364076
153	0.246252499
154	0.2460870714
155	0.245925601
156	0.2457837336
157	0.2456483425
158	0.245214833
159	0.2451674254
160	0.2449374328
161	0.244705906
162	0.2445743942
163	0.2443783527
164	0.2442920482
165	0.2442113817
166	0.2440297767
167	0.2439354207
168	0.2436438343
169	0.2435140728
170	0.2434029563
171	0.2433217761
172	0.2431014904
173	0.2430125955
174	0.2428866915
175	0.2427677836
176	0.2426920423
177	0.2426169743
178	0.2424749683
179	0.242225147
180	0.242105582
181	0.2420145942
182	0.2419292122
183	0.2418526239
184	0.2417553454
185	0.2415940456
186	0.2414199752
187	0.2413109989
188	0.2411517022
189	0.24092645
190	0.2408558411
191	0.2406269993
192	0.2403749553
193	0.240257247
194	0.2400559027
195	0.2399467367
196	0.2397931036
197	0.2396609239
198	0.2395928851
199	0.2394847743
200	0.2392951888
201	0.2391647015
202	0.2389862538
203	0.2387247069
204	0.2386146083
205	0.2384976787
206	0.2383993857
207	0.2383374653
208	0.2382716446
209	0.2381115872
210	0.2379933676
211	0.2378968364
212	0.2377681075
213	0.2374901212
214	0.2373532124
215	0.237214258
216	0.2371490054
217	0.2369791419
218	0.2368008375
219	0.236685736
220	0.2365939586
221	0.2363828713
222	0.2363009779
223	0.2361608378
224	0.2359679544
225	0.2357786799
226	0.2356849561
227	0.2356387735
228	0.2354957764
229	0.235391116
230	0.2352852079
231	0.2352185569
232	0.2350649935
233	0.2348553986
234	0.2347279395
235	0.2346813337
236	0.2345993011
237	0.2345218329
238	0.2344276301
