iter	Passed	Remaining
0	4	1896
1	9	1829
2	13	1821
3	16	1655
4	20	1582
5	22	1507
6	27	1531
7	30	1505
8	34	1503
9	37	1455
10	40	1419
11	43	1400
12	46	1385
13	49	1368
14	53	1371
15	57	1376
16	63	1421
17	66	1413
18	70	1406
19	73	1387
20	76	1384
21	80	1380
22	84	1379
23	87	1375
24	91	1370
25	95	1367
26	100	1391
27	105	1397
28	109	1405
29	112	1393
30	116	1386
31	120	1383
32	125	1394
33	129	1396
34	133	1397
35	138	1402
36	143	1407
37	146	1398
38	150	1391
39	154	1389
40	162	1425
41	166	1423
42	171	1420
43	176	1430
44	181	1429
45	185	1427
46	189	1423
47	193	1419
48	197	1417
49	205	1438
50	210	1440
51	215	1444
52	220	1444
53	225	1442
54	230	1443
55	233	1435
56	238	1436
57	243	1437
58	250	1447
59	255	1445
60	260	1445
61	264	1442
62	268	1435
63	273	1436
64	277	1431
65	281	1425
66	286	1426
67	291	1424
68	298	1429
69	301	1423
70	308	1429
71	312	1425
72	316	1417
73	320	1413
74	325	1411
75	329	1404
76	336	1410
77	339	1402
78	344	1400
79	348	1393
80	353	1392
81	357	1386
82	362	1382
83	365	1374
84	370	1373
85	376	1374
86	380	1370
87	387	1374
88	392	1371
89	396	1365
90	403	1369
91	408	1366
92	412	1360
93	417	1359
94	421	1354
95	426	1349
96	430	1344
97	435	1341
98	439	1336
99	442	1328
100	448	1328
101	453	1324
102	458	1320
103	462	1315
104	468	1317
105	474	1314
106	477	1308
107	482	1303
108	486	1299
109	490	1294
110	494	1288
111	500	1286
112	504	1281
113	508	1275
114	514	1274
115	519	1270
116	523	1265
117	525	1256
118	532	1256
119	537	1253
120	540	1246
121	546	1246
122	552	1245
123	558	1243
124	563	1239
125	568	1235
126	572	1230
127	577	1228
128	582	1223
129	586	1217
130	590	1212
131	595	1209
132	599	1204
133	603	1198
134	609	1195
135	614	1192
136	618	1188
137	622	1182
138	628	1179
139	633	1176
140	637	1170
141	641	1165
142	647	1164
143	651	1158
144	657	1156
145	663	1154
146	671	1155
147	675	1150
148	680	1145
149	684	1140
150	688	1135
151	694	1133
152	699	1128
153	703	1123
154	708	1119
155	712	1115
156	716	1108
157	720	1103
158	725	1100
159	731	1096
160	735	1092
161	741	1089
162	747	1087
163	751	1081
164	756	1078
165	762	1074
166	765	1068
167	769	1063
168	775	1059
169	780	1056
170	785	1051
171	788	1045
172	794	1042
173	799	1038
174	806	1036
175	813	1035
176	818	1030
177	824	1028
178	829	1024
179	833	1019
180	840	1017
181	844	1011
182	850	1008
183	856	1004
184	861	1001
185	866	997
186	873	995
187	877	989
188	881	984
189	887	980
190	891	975
191	895	970
192	901	967
193	906	962
194	910	957
195	914	951
196	919	947
197	924	943
198	929	938
199	934	934
200	939	930
201	943	924
202	947	919
203	953	915
204	958	912
205	963	907
206	971	905
207	976	901
208	981	896
209	987	893
210	992	889
211	995	883
212	1000	878
213	1006	874
214	1011	870
215	1017	866
216	1021	861
217	1026	856
218	1032	852
219	1036	847
220	1042	844
221	1045	838
222	1050	833
223	1054	828
224	1058	823
225	1063	818
226	1068	814
227	1072	808
228	1076	804
229	1081	799
230	1087	795
231	1092	791
232	1097	786
233	1101	781
234	1106	776
235	1113	773
236	1118	769
237	1123	764
238	1128	760
239	1133	755
240	1137	750
241	1141	745
242	1148	741
243	1152	736
244	1165	737
245	1169	732
246	1173	727
247	1178	722
248	1184	718
249	1188	713
250	1193	708
251	1200	704
252	1205	700
253	1210	695
254	1214	690
255	1219	686
256	1223	680
257	1229	676
258	1242	676
259	1247	671
260	1251	666
261	1256	661
262	1265	659
263	1272	655
264	1278	651
265	1282	646
266	1287	641
267	1293	637
268	1298	632
269	1303	627
270	1309	623
271	1315	618
272	1319	614
273	1326	609
274	1329	604
275	1334	599
276	1339	594
277	1344	589
278	1350	585
279	1353	580
280	1359	575
281	1363	570
282	1367	565
283	1373	560
284	1379	556
285	1385	552
286	1394	549
287	1400	544
288	1405	539
289	1410	535
290	1415	530
291	1419	525
292	1424	520
293	1429	515
294	1433	510
295	1436	504
296	1440	499
297	1444	494
298	1449	489
299	1459	486
300	1463	481
301	1469	476
302	1474	472
303	1480	467
304	1486	463
305	1491	458
306	1496	453
307	1500	448
308	1506	443
309	1511	438
310	1516	433
311	1521	429
312	1527	424
313	1533	419
314	1540	415
315	1544	410
316	1549	405
317	1553	400
318	1558	395
319	1561	390
320	1567	385
321	1572	380
322	1575	375
323	1581	370
324	1591	367
325	1594	361
326	1598	356
327	1603	352
328	1607	346
329	1611	341
330	1615	336
331	1623	332
332	1628	327
333	1634	322
334	1639	318
335	1643	313
336	1648	308
337	1652	303
338	1656	297
339	1660	293
340	1664	287
341	1668	282
342	1673	278
343	1676	272
344	1681	268
345	1685	263
346	1689	258
347	1694	253
348	1699	248
349	1703	243
350	1707	238
351	1710	233
352	1716	228
353	1720	223
354	1725	218
355	1730	213
356	1735	209
357	1740	204
358	1745	199
359	1750	194
360	1755	189
361	1760	184
362	1765	179
363	1770	175
364	1775	170
365	1780	165
366	1786	160
367	1794	156
368	1800	151
369	1803	146
370	1808	141
371	1812	136
372	1816	131
373	1821	126
374	1826	121
375	1830	116
376	1835	111
377	1839	107
378	1843	102
379	1848	97
380	1853	92
381	1860	87
382	1866	82
383	1869	77
384	1874	73
385	1879	68
386	1883	63
387	1887	58
388	1892	53
389	1895	48
390	1900	43
391	1905	38
392	1910	34
393	1915	29
394	1919	24
395	1923	19
396	1927	14
397	1931	9
398	1938	4
399	1942	0
